"ImageIndex","Chapter","Map","Source","Destination","SHA256","Status"
"94","1","157","1787760402516_2210334767131197631_g1860709059863148993_b76726bc4fba88c6c4da568da227d03b.jpg","masterdata/chap1/157.jpeg","C1C723FAE3D6B0BD61FC092069F3B4BDCE0290A3FF2B24D2FED908557254A891","added"
"95","1","158","1787760402612_2210334767131197631_g1860709059863148993_d470610db60941bde70d6fef5a0775ec.jpg","masterdata/chap1/158.jpeg","8CB40C3BADA11B0079F9683A5924CE6C4E19ABCF3F456C0AD47F6CEA6C60361B","added"
"96","1","159","1787760402697_2210334767131197631_g1860709059863148993_64ab9b620b8545b6d28f306d79f0b60d.jpg","masterdata/chap1/159.jpeg","38C13802E08E065753A471D9F068DD359DA6F5DFED85F694D898BF4B9A5F6B4B","added"
"97","1","160","1787760422880_2210334767131197631_g1860709059863148993_e9df80e3a82fc4ff0add94361448398e.jpg","masterdata/chap1/160.jpeg","FA2513791A3792B3F6752641679FC2B798C926F2595BBC821E82FF58D6CD3893","added"
"98","1","161","1787760422955_2210334767131197631_g1860709059863148993_27331924a30932bf4aa02fb485d6e84e.jpg","masterdata/chap1/161.jpeg","706E04DB20B80CAA8E77930D926560896D99593913CAE1194A5F903E708E5B6C","added"
"99","1","162","1787760423077_2210334767131197631_g1860709059863148993_79e6db09b25a09abd2167c19075df735.jpg","masterdata/chap1/162.jpeg","5E9D1F8F8E00A02CF9F3CF6DF1E78824BDD24389AAA22C5A4846DDD0638A29E7","added"
"100","1","163","1787760423161_2210334767131197631_g1860709059863148993_1c5fbff562b2e8a20d377920c307f6ca.jpg","masterdata/chap1/163.jpeg","8601D3771A4B7948D5D6CDBBE33A0EA4832CC7427434A1D86B7F4E973015F250","added"
"101","1","164","1787760423256_2210334767131197631_g1860709059863148993_8aa3f6a059253ff5384065e3aabca701.jpg","masterdata/chap1/164.jpeg","3133ABEE7E6E5FEBB47B6EE6D4319117A97F6BA386A7BF6E0C0104B26337F8A4","added"
"102","1","165","1787760423332_2210334767131197631_g1860709059863148993_797f38ac82cc5de12ea4ef061c2615c4.jpg","masterdata/chap1/165.jpeg","3205A60920FE0BDB0FB5EADDA841B3CE63D22EABA61C7B0906EFD2D6B2E12A6A","added"
"103","1","167","1787760423439_2210334767131197631_g1860709059863148993_ecf63a342c3a7f411edaa49eb3694cff.jpg","masterdata/chap1/167.jpeg","8B8ABA859537B60708442B0480BAB929D1424B8338AF0D8E54E54C132EFA2C6F","added"
"104","1","168","1787760423540_2210334767131197631_g1860709059863148993_ea3a0e94f904a9a3b109c8d9047b1a42.jpg","masterdata/chap1/168.jpeg","7EA47305ABAC40AA01F3844B24CBEFA3EC90FEF74881006DDDAA83FE5E1F9B11","added"
"105","1","169","1787760423632_2210334767131197631_g1860709059863148993_0d0f484f9afa14b5c4e0b294251a1633.jpg","masterdata/chap1/169.jpeg","013435F426BBACCD2A1380FC8EF500475DD788BEB0B684DAD34F7E2EC2B07509","added"
"106","1","170","1787760423713_2210334767131197631_g1860709059863148993_b6142c516d536c90004bc63959a1a151.jpg","masterdata/chap1/170.jpeg","C672A33566EB82C36C760D1733F41AE12BCA3D20E5AF1AC7EFA7B13332118F6E","added"
"107","1","172","1787760423813_2210334767131197631_g1860709059863148993_2c4816f33de44be930a71c647d56770c.jpg","masterdata/chap1/172.jpeg","B4DBD2CB0BF36CC9BB79AA5B0878F6EFCD8FA8B09BD00C8D88342CB761B3B8D0","added"
"108","1","173","1787760423890_2210334767131197631_g1860709059863148993_62add5cc23eb18a3bd20e8bb0e5556b5.jpg","masterdata/chap1/173.jpeg","DFD8D7FD12C1BD0F9A542296743E3D153396B237EABD4620ECA106ED34F6BD50","added"
"109","1","174","1787760423983_2210334767131197631_g1860709059863148993_10eb8ac713e18b89d67862089d0d63fa.jpg","masterdata/chap1/174.jpeg","9FAA0B2C2507787E80F73EEDF67DE5DCD1D6056DC66EA2E7BD694C73283EBA64","added"
"110","1","175","1787760424067_2210334767131197631_g1860709059863148993_b95bc31030bf4de5d51ecb65aea6dd5f.jpg","masterdata/chap1/175.jpeg","A97B375BA71BFAD85718665A1C402C505587AC0140BE67FFAC7E5679EED19776","added"
"111","1","176","1787760424162_2210334767131197631_g1860709059863148993_52915b7e168c97d10e111e48af43cf09.jpg","masterdata/chap1/176.jpeg","9C187420B4F2EE282FE47B8F5F32A13A546B66BA8896E97409269EFFB7410C04","added"
"112","1","177","1787760424230_2210334767131197631_g1860709059863148993_a35c57094fded748a87d9b92cda62e61.jpg","masterdata/chap1/177.jpeg","F93F7BFD20167AC23647BA6FB1D241848B66E597233F127E9CDD4F1B6A11FC53","added"
"113","1","179","1787760424313_2210334767131197631_g1860709059863148993_f5529486d126d922ba3e8b95abc45f20.jpg","masterdata/chap1/179.jpeg","034D443DABDF9569E70833AD74AE8DB3AD0AA2B9D98DA96D17C485E917492F7D","added"
"114","1","181","1787760424403_2210334767131197631_g1860709059863148993_7e1b5f5c92057bf8ac058c4b491255c6.jpg","masterdata/chap1/181.jpeg","001E38B5C182DA02BBC6B679E3EA92F8C4BBF26D5FD9AECCDC5183E2FEA1BE5B","added"
